UP,ASBC,2013-10-31
null,ASBI,2013-10-18
null,ASBI,2013-10-21
null,ASBI,2013-10-22
null,ASBI,2013-10-23
null,ASBI,2013-10-24
null,ASBI,2013-10-25
null,ASBI,2013-10-28
null,ASBI,2013-10-29
null,ASBI,2013-10-30
UP,ASBI,2013-10-31
null,ASFI,2013-10-18
null,ASFI,2013-10-21
null,ASFI,2013-10-22
null,ASFI,2013-10-23
null,ASFI,2013-10-24
null,ASFI,2013-10-25
DOWN,ASFI,2013-10-28
DOWN,ASFI,2013-10-29
null,ASFI,2013-10-30
null,ASFI,2013-10-31
UP,ASIA,2013-10-18
null,ASIA,2013-10-21
null,ASIA,2013-10-22
null,ASIA,2013-10-23
null,ASIA,2013-10-24
null,ASIA,2013-10-25
null,ASIA,2013-10-28
null,ASIA,2013-10-29
null,ASIA,2013-10-30
UP,ASIA,2013-10-31
null,ASPS,2013-10-18
null,ASPS,2013-10-21
null,ASPS,2013-10-22
null,ASPS,2013-10-23
null,ASPS,2013-10-24
UP,ASPS,2013-10-25
UP,ASPS,2013-10-28
UP,ASPS,2013-10-29
UP,ASPS,2013-10-30
UP,ASPS,2013-10-31
null,ASRVP,2013-10-18
null,ASRVP,2013-10-21
null,ASRVP,2013-10-22
null,ASRVP,2013-10-23
null,ASRVP,2013-10-24
null,ASRVP,2013-10-25
null,ASRVP,2013-10-28
null,ASRVP,2013-10-29
null,ASRVP,2013-10-30
null,ASRVP,2013-10-31
null,ATLC,2013-10-18
null,ATLC,2013-10-21
null,ATLC,2013-10-22
null,ATLC,2013-10-23
null,ATLC,2013-10-24
null,ATLC,2013-10-25
null,ATLC,2013-10-28
null,ATLC,2013-10-29
null,ATLC,2013-10-30
null,ATLC,2013-10-31
UP,ATML,2013-10-18
null,ATML,2013-10-21
null,ATML,2013-10-22
null,ATML,2013-10-23
UP,ATML,2013-10-24
UP,ATML,2013-10-25
null,ATML,2013-10-28
UP,ATML,2013-10-29
UP,ATML,2013-10-30
UP,ATML,2013-10-31
DOWN,ATOS,2013-10-18
DOWN,ATOS,2013-10-21
null,ATOS,2013-10-22
null,ATOS,2013-10-23
DOWN,ATOS,2013-10-24
DOWN,ATOS,2013-10-25
DOWN,ATOS,2013-10-28
null,ATOS,2013-10-29
DOWN,ATOS,2013-10-30
DOWN,ATOS,2013-10-31
null,ATRM,2013-10-18
null,ATRM,2013-10-21
null,ATRM,2013-10-22
null,ATRM,2013-10-23
null,ATRM,2013-10-24
null,ATRM,2013-10-25
null,ATRM,2013-10-28
null,ATRM,2013-10-29
UP,ATRM,2013-10-30
UP,ATRM,2013-10-31
UP,ATVI,2013-10-18
UP,ATVI,2013-10-21
UP,ATVI,2013-10-22
UP,ATVI,2013-10-23
UP,ATVI,2013-10-24
UP,ATVI,2013-10-25
UP,ATVI,2013-10-28
UP,ATVI,2013-10-29
UP,ATVI,2013-10-30
UP,ATVI,2013-10-31
DOWN,AUDC,2013-10-18
null,AUDC,2013-10-21
null,AUDC,2013-10-22
null,AUDC,2013-10-23
null,AUDC,2013-10-24
null,AUDC,2013-10-25
UP,AUDC,2013-10-28
null,AUDC,2013-10-29
null,AUDC,2013-10-30
UP,AUDC,2013-10-31
null,AWRE,2013-10-18
null,AWRE,2013-10-21
UP,AWRE,2013-10-22
UP,AWRE,2013-10-23
UP,AWRE,2013-10-24
UP,AWRE,2013-10-25
null,AWRE,2013-10-28
UP,AWRE,2013-10-29
UP,AWRE,2013-10-30
UP,AWRE,2013-10-31
UP,AXGN,2013-10-18
null,AXGN,2013-10-21
null,AXGN,2013-10-22
null,AXGN,2013-10-23
null,AXGN,2013-10-24
null,AXGN,2013-10-25
null,AXGN,2013-10-28
null,AXGN,2013-10-29
null,AXGN,2013-10-30
UP,AXGN,2013-10-31
null,BABY,2013-10-18
null,BABY,2013-10-21
null,BABY,2013-10-22
null,BABY,2013-10-23
null,BABY,2013-10-24
UP,BABY,2013-10-25
UP,BABY,2013-10-28
UP,BABY,2013-10-29
null,BABY,2013-10-30
null,BABY,2013-10-31
null,BANFP,2013-10-18
null,BANFP,2013-10-21
null,BANFP,2013-10-22
null,BANFP,2013-10-23
null,BANFP,2013-10-24
null,BANFP,2013-10-25
null,BANFP,2013-10-28
null,BANFP,2013-10-29
null,BANFP,2013-10-30
null,BANFP,2013-10-31
UP,BBNK,2013-10-18
null,BBNK,2013-10-21
null,BBNK,2013-10-22
null,BBNK,2013-10-23
null,BBNK,2013-10-24
null,BBNK,2013-10-25
null,BBNK,2013-10-28
null,BBNK,2013-10-29
UP,BBNK,2013-10-30
UP,BBNK,2013-10-31
null,BBOX,2013-10-18
null,BBOX,2013-10-21
null,BBOX,2013-10-22
null,BBOX,2013-10-23
null,BBOX,2013-10-24
null,BBOX,2013-10-25
null,BBOX,2013-10-28
DOWN,BBOX,2013-10-29
UP,BBOX,2013-10-30
UP,BBOX,2013-10-31
null,BDGE,2013-10-18
UP,BDGE,2013-10-21
null,BDGE,2013-10-22
null,BDGE,2013-10-23
null,BDGE,2013-10-24
null,BDGE,2013-10-25
UP,BDGE,2013-10-28
null,BDGE,2013-10-29
null,BDGE,2013-10-30
null,BDGE,2013-10-31
null,BDMS,2013-10-18
null,BDMS,2013-10-21
null,BDMS,2013-10-22
null,BDMS,2013-10-23
null,BDMS,2013-10-24
null,BDMS,2013-10-25
null,BDMS,2013-10-28
UP,BDMS,2013-10-29
UP,BDMS,2013-10-30
UP,BDMS,2013-10-31
UP,BELFA,2013-10-18
null,BELFA,2013-10-21
null,BELFA,2013-10-22
null,BELFA,2013-10-23
null,BELFA,2013-10-24
null,BELFA,2013-10-25
null,BELFA,2013-10-28
null,BELFA,2013-10-29
null,BELFA,2013-10-30
UP,BELFA,2013-10-31
null,BIB,2013-10-18
null,BIB,2013-10-21
null,BIB,2013-10-22
null,BIB,2013-10-23
null,BIB,2013-10-24
null,BIB,2013-10-25
null,BIB,2013-10-28
null,BIB,2013-10-29
null,BIB,2013-10-30
null,BIB,2013-10-31
UP,BIOL,2013-10-18
DOWN,BIOL,2013-10-21
DOWN,BIOL,2013-10-22
DOWN,BIOL,2013-10-23
DOWN,BIOL,2013-10-24
null,BIOL,2013-10-25
null,BIOL,2013-10-28
null,BIOL,2013-10-29
null,BIOL,2013-10-30
null,BIOL,2013-10-31
UP,BIOS,2013-10-18
null,BIOS,2013-10-21
DOWN,BIOS,2013-10-22
DOWN,BIOS,2013-10-23
DOWN,BIOS,2013-10-24
DOWN,BIOS,2013-10-25
DOWN,BIOS,2013-10-28
null,BIOS,2013-10-29
DOWN,BIOS,2013-10-30
DOWN,BIOS,2013-10-31
null,BLDR,2013-10-18
null,BLDR,2013-10-21
null,BLDR,2013-10-22
